,"
Company
","4Q17 Shipments
","4Q17 Market Share (%)
","4Q16 Shipments
","4Q16 Market Share (%)
","4Q17-4Q16 Growth (%)
"
0,"HP Inc.
","16,076
","22.5
","15,084
","20.7
","6.6
"
1,"Lenovo
","15,742
","22.0
","15,857
","21.7
","-0.7
"
2,"Dell
","10,841
","15.2
","10,767
","14.7
","0.7
"
3,"Apple
","5,449
","7.6
","5,374
","7.4
","1.4
"
4,"Asus
","4,731
","6.6
","5,336
","7.3
","-11.3
"
5,"Acer Group
","4,726
","6.6
","4,998
","6.8
","-5.4
"
6,"Others
","13,990
","19.6
","15,599
","21.4
","-10.3
"
7,"Total
","71,556
","100.0
","73,015
","100.0
","-2.0
"
8,"Lenovo
","15,742
","22.0
","15,857
","21.7
","-0.7
"
9,"Dell
","10,841
","15.2
","10,767
","14.7
","0.7
"
10,"Apple
","5,449
","7.6
","5,374
","7.4
","1.4
"
11,"Asus
","4,731
","6.6
","5,336
","7.3
","-11.3
"
12,"Acer Group
","4,726
","6.6
","4,998
","6.8
","-5.4
"
13,"Others
","13,990
","19.6
","15,599
","21.4
","-10.3
"
14,"Total
","71,556
","100.0
","73,015
","100.0
","-2.0
"
